Store_ID,Brand,Month,Menu_Category,Sales,Transactions
1000,Maple Grill,2022-01-01,Mains,17660,1701
1000,Maple Grill,2022-01-01,Sides,28605,1550
1000,Maple Grill,2022-01-01,Beverages,34931,2308
1000,Maple Grill,2022-01-01,Desserts,31729,2672
1000,Maple Grill,2022-02-01,Mains,27767,1967
1000,Maple Grill,2022-02-01,Sides,21891,1120
1000,Maple Grill,2022-02-01,Beverages,12683,634
1000,Maple Grill,2022-02-01,Desserts,36358,1925
1000,Maple Grill,2022-03-01,Mains,38587,2630
1000,Maple Grill,2022-03-01,Sides,30948,1803
1000,Maple Grill,2022-03-01,Beverages,8593,587
1000,Maple Grill,2022-03-01,Desserts,38696,3183
1000,Maple Grill,2022-04-01,Mains,34481,2127
1000,Maple Grill,2022-04-01,Sides,37137,2833
1000,Maple Grill,2022-04-01,Beverages,10615,762
1000,Maple Grill,2022-04-01,Desserts,38653,2752
1000,Maple Grill,2022-05-01,Mains,23270,1626
1000,Maple Grill,2022-05-01,Sides,23855,2311
1000,Maple Grill,2022-05-01,Beverages,9020,469
1000,Maple Grill,2022-05-01,Desserts,10741,614
1000,Maple Grill,2022-06-01,Mains,24103,1739
1000,Maple Grill,2022-06-01,Sides,36166,3390
1000,Maple Grill,2022-06-01,Beverages,20820,1842
1000,Maple Grill,2022-06-01,Desserts,10997,639
1000,Maple Grill,2022-07-01,Mains,22910,1213
1000,Maple Grill,2022-07-01,Sides,34264,2328
1000,Maple Grill,2022-07-01,Beverages,37064,2026
1000,Maple Grill,2022-07-01,Desserts,14417,780
1000,Maple Grill,2022-08-01,Mains,27548,2506
1000,Maple Grill,2022-08-01,Sides,36509,2321
1000,Maple Grill,2022-08-01,Beverages,18972,1776
1000,Maple Grill,2022-08-01,Desserts,15804,925
1000,Maple Grill,2022-09-01,Mains,30447,1670
1000,Maple Grill,2022-09-01,Sides,11525,664
1000,Maple Grill,2022-09-01,Beverages,10168,633
1000,Maple Grill,2022-09-01,Desserts,25133,1603
1000,Maple Grill,2022-10-01,Mains,31647,1875
1000,Maple Grill,2022-10-01,Sides,16528,1230
1000,Maple Grill,2022-10-01,Beverages,29354,2332
1000,Maple Grill,2022-10-01,Desserts,22105,1912
1000,Maple Grill,2022-11-01,Mains,13062,798
1000,Maple Grill,2022-11-01,Sides,31267,1732
1000,Maple Grill,2022-11-01,Beverages,12495,960
1000,Maple Grill,2022-11-01,Desserts,10417,785
1000,Maple Grill,2022-12-01,Mains,37949,2780
1000,Maple Grill,2022-12-01,Sides,23173,1915
1000,Maple Grill,2022-12-01,Beverages,36903,1859
1000,Maple Grill,2022-12-01,Desserts,23141,1346
1000,Maple Grill,2023-01-01,Mains,28574,1687
