Store_ID,Brand,Month,Breakfast_Sales,Lunch_Sales,Dinner_Sales,Late_Night_Sales
1000,Maple Grill,2022-01-01,22533.37,48513.57,37685.32,4192.74
1000,Maple Grill,2022-02-01,19638.13,39996.49,35088.41,3975.97
1000,Maple Grill,2022-03-01,19094.68,37657.74,43185.3,16886.28
1000,Maple Grill,2022-04-01,19300.19,46719.91,43761.85,11104.05
1000,Maple Grill,2022-05-01,14137.39,27102.83,17425.5,8220.28
1000,Maple Grill,2022-06-01,11582.42,34427.53,28066.12,18009.93
1000,Maple Grill,2022-07-01,23644.79,43592.24,35722.5,5695.47
1000,Maple Grill,2022-08-01,10861.08,40618.94,34412.47,12940.51
1000,Maple Grill,2022-09-01,17350.04,33592.14,29267.29,-2936.47
1000,Maple Grill,2022-10-01,14299.28,35491.99,33699.44,16143.29
1000,Maple Grill,2022-11-01,9285.63,29482.17,21050.95,7422.25
1000,Maple Grill,2022-12-01,20948.81,38054.89,44486.83,17675.47
1000,Maple Grill,2023-01-01,13026.61,42781.6,35434.96,14437.83
1000,Maple Grill,2023-02-01,22248.31,44504.41,26652.35,10801.93
1000,Maple Grill,2023-03-01,11720.29,30654.53,30533.74,20289.44
1000,Maple Grill,2023-04-01,20676.13,31156.46,39401.11,9226.3
1000,Maple Grill,2023-05-01,17680.16,32392.37,40020.01,15520.46
1000,Maple Grill,2023-06-01,18885.97,33282.52,29565.6,25473.91
1000,Maple Grill,2023-07-01,24827.66,41710.59,41363.34,7685.41
1000,Maple Grill,2023-08-01,18733.81,31037.57,21904.86,12492.76
1000,Maple Grill,2023-09-01,8318.45,25081.58,23989.91,7694.06
1000,Maple Grill,2023-10-01,12495.26,29483.35,20254.1,4582.29
1000,Maple Grill,2023-11-01,22900.62,45422.5,28803.83,17450.05
1000,Maple Grill,2023-12-01,21146.96,35333.1,22694.01,5880.93
1000,Maple Grill,2024-01-01,13156.23,24089.81,20155.4,10524.56
1000,Maple Grill,2024-02-01,7095.61,24177.26,21951.0,10271.13
1000,Maple Grill,2024-03-01,9510.45,23595.16,19831.24,25290.15
1000,Maple Grill,2024-04-01,11094.5,29675.37,18463.01,7732.12
1000,Maple Grill,2024-05-01,16015.46,40709.7,36270.19,-2168.35
1000,Maple Grill,2024-06-01,19127.28,25337.43,27616.84,10498.45
